2019,LZ 2XXMX,"1.5 litre, M9DD I4 16v DOHC VVT Turbo Direct Inj {132KW}","10/15~01/19,4D,Sedan,FWD,AT,[THAILAND],"
2019,LZ 3XXMX,"1.5 litre, M9DD I4 16v DOHC VVT Turbo Direct Inj {132KW}","10/15~01/19,4D,Hatch,FWD,AT/MT,[THAILAND],"
2019,LZ 5XXGC,"2.0 litre, R9DD ECOBOOST I4 16v DOHC VVT Turbo Direct Inj {184KW}","10/15~01/19,ST2,4D,Hatch,FWD,MT,[GERMANY],"
2019,LZ 5XXGC,"2.3 litre, YVDB I4 16v DOHC VVT I/C Turbo Direct Inj {257KW}","06/16~01/19,RS,4D,Hatch,AWD,MT,[GERMANY],"
2019,SA NXXGC,"1.5 litre, Y1DA I3 12v DOHC VVT Turbo Direct Inj {134KW}","10/18~On,4D,Hatch,FWD,AT,[GERMANY],"
2019,SA PXXGC,"1.5 litre, Y1DA I3 12v DOHC VVT Turbo Direct Inj {134KW}","10/18~On,ST-LINE,4D,Wagon,FWD,AT,[GERMANY],"
2018,LZ 2XXMX,"1.5 litre, M9DD I4 16v DOHC VVT Turbo Direct Inj {132KW}","10/15~01/19,4D,Sedan,FWD,AT,[THAILAND],"
2018,LZ 3XXMX,"1.5 litre, M9DD I4 16v DOHC VVT Turbo Direct Inj {132KW}","10/15~01/19,4D,Hatch,FWD,AT/MT,[THAILAND],"
2018,LZ 5XXGC,"2.0 litre, R9DD ECOBOOST I4 16v DOHC VVT Turbo Direct Inj {184KW}","10/15~01/19,ST2,4D,Hatch,FWD,MT,[GERMANY],"
2018,LZ 5XXGC,"2.3 litre, YVDB I4 16v DOHC VVT I/C Turbo Direct Inj {257KW}","06/16~01/19,RS,4D,Hatch,AWD,MT,[GERMANY],"
2018,SA NXXGC,"1.5 litre, Y1DA I3 12v DOHC VVT Turbo Direct Inj {134KW}","10/18~On,4D,Hatch,FWD,AT,[GERMANY],"
2018,SA PXXGC,"1.5 litre, Y1DA I3 12v DOHC VVT Turbo Direct Inj {134KW}","10/18~On,ST-LINE,4D,Wagon,FWD,AT,[GERMANY],"
2017,LZ 2XXMX,"1.5 litre, M9DD I4 16v DOHC VVT Turbo Direct Inj {132KW}","10/15~01/19,4D,Sedan,FWD,AT,[THAILAND],"
2017,LZ 3XXMX,"1.5 litre, M9DD I4 16v DOHC VVT Turbo Direct Inj {132KW}","10/15~01/19,4D,Hatch,FWD,AT/MT,[THAILAND],"
2017,LZ 5XXGC,"2.0 litre, R9DD ECOBOOST I4 16v DOHC VVT Turbo Direct Inj {184KW}","10/15~01/19,ST2,4D,Hatch,FWD,MT,[GERMANY],"
2017,LZ 5XXGC,"2.3 litre, YVDB I4 16v DOHC VVT I/C Turbo Direct Inj {257KW}","06/16~01/19,RS,4D,Hatch,AWD,MT,[GERMANY],"
2016,LZ 2XXMX,"1.5 litre, M9DD I4 16v DOHC VVT Turbo Direct Inj {132KW}","10/15~01/19,4D,Sedan,FWD,AT,[THAILAND],"
2016,LZ 3XXMX,"1.5 litre, M9DD I4 16v DOHC VVT Turbo Direct Inj {132KW}","10/15~01/19,4D,Hatch,FWD,AT/MT,[THAILAND],"
2016,LZ 5XXGC,"2.0 litre, R9DD ECOBOOST I4 16v DOHC VVT Turbo Direct Inj {184KW}","10/15~01/19,ST2,4D,Hatch,FWD,MT,[GERMANY],"
2016,LZ 5XXGC,"2.3 litre, YVDB I4 16v DOHC VVT I/C Turbo Direct Inj {257KW}","06/16~01/19,RS,4D,Hatch,AWD,MT,[GERMANY],"
2015,LW 1XXMX,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","07/12~09/15,AMBIENTE,4D,Hatch,FWD,MT/DCT,[THAILAND],"
2015,LW 1XXMX,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/12~09/15,4D,Hatch,FWD,DCT,[THAILAND],"
2015,LW 1XXMX,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/12~09/15,4D,Hatch,FWD,MT/DCT,[THAILAND],"
2015,LW 2XXMX,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","07/12~09/15,AMBIENTE,4D,Sedan,FWD,MT/DCT,[GERMANY],"
2015,LW 2XXMX,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/12~09/15,4D,Sedan,FWD,DCT,[THAILAND],"
2015,LW 2XXMX,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/12~09/15,4D,Sedan,FWD,MT/DCT,[GERMANY],"
2015,LZ 2XXMX,"1.5 litre, M9DD I4 16v DOHC VVT Turbo Direct Inj {132KW}","10/15~01/19,4D,Sedan,FWD,AT,[THAILAND],"
2015,LZ 3XXMX,"1.5 litre, M9DD I4 16v DOHC VVT Turbo Direct Inj {132KW}","10/15~01/19,4D,Hatch,FWD,AT/MT,[THAILAND],"
2015,LZ 5XXGC,"2.0 litre, R9DD ECOBOOST I4 16v DOHC VVT Turbo Direct Inj {184KW}","10/15~01/19,ST2,4D,Hatch,FWD,MT,[GERMANY],"
2014,LW 1XXMX,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","07/12~09/15,AMBIENTE,4D,Hatch,FWD,MT/DCT,[THAILAND],"
2014,LW 1XXMX,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/12~09/15,4D,Hatch,FWD,DCT,[THAILAND],"
2014,LW 1XXMX,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/12~09/15,4D,Hatch,FWD,MT/DCT,[THAILAND],"
2014,LW 2XXMX,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","07/12~09/15,AMBIENTE,4D,Sedan,FWD,MT/DCT,[GERMANY],"
2014,LW 2XXMX,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/12~09/15,4D,Sedan,FWD,DCT,[THAILAND],"
2014,LW 2XXMX,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/12~09/15,4D,Sedan,FWD,MT/DCT,[GERMANY],"
2014,LW KXXGC,"2.0 litre, R9DA ECOBOOST I4 16v DOHC VVT Turbo Direct Inj {184KW}","10/12~06/14,ST,4D,Hatch,FWD,MT,[GERMANY],"
2013,LW 1XXMX,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","07/12~09/15,AMBIENTE,4D,Hatch,FWD,MT/DCT,[THAILAND],"
2013,LW 1XXMX,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/12~09/15,4D,Hatch,FWD,DCT,[THAILAND],"
2013,LW 1XXMX,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/12~09/15,4D,Hatch,FWD,MT/DCT,[THAILAND],"
2013,LW 2XXMX,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","07/12~09/15,AMBIENTE,4D,Sedan,FWD,MT/DCT,[GERMANY],"
2013,LW 2XXMX,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/12~09/15,4D,Sedan,FWD,DCT,[THAILAND],"
2013,LW 2XXMX,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/12~09/15,4D,Sedan,FWD,MT/DCT,[GERMANY],"
